Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Scientific name,RL Category
7909.0,Pycnonotus luteolus,Pycnonotidae,Passeriformes,AVIBASE-587EC0C3,4,2,2,0,4,17.9,9.4,4.0,5.3,21.4,83.2,9.3,73.9,11.2,79.0,34.7,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,5.92,24.86,17.13,78.88,1386882.2,Pycnonotus luteolus,LC
7899.0,Pycnonotus nieuwenhuisii,Pycnonotidae,Passeriformes,AVIBASE-84F1B408,2,0,2,0,0,18.2,10.0,4.4,4.7,16.4,84.7,14.1,63.6,18.1,68.7,25.5,Inferred,,YES,Beak Nares; Beak Width; Beak Depth; Kipp's Distance; Secondary1; Hand-Wing Index; Body Mass,Brachypodius atriceps,Forest,2,2.0,Herbivore,Frugivore,Insessorial,1.75,4.81,3.33,100.88,56602.6,Pycnonotus nieuwenhuisii,DD
7896.0,Pycnonotus nigricans,Pycnonotidae,Passeriformes,AVIBASE-9EF3E079,5,0,1,4,4,19.6,10.9,4.1,5.0,21.6,92.8,16.3,77.5,17.4,77.2,30.8,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,-33.08,-11.96,-23.83,21.16,2129772.01,Pycnonotus nigricans,LC
7905.0,Pycnonotus penicillatus,Pycnonotidae,Passeriformes,AVIBASE-4F30CD0E,4,2,2,0,4,17.2,8.6,4.3,4.8,20.8,79.2,9.2,70.1,11.5,79.0,36.5,Dunning,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,6.38,7.59,6.98,80.78,3926.19,Pycnonotus penicillatus,LC
7910.0,Pycnonotus plumosus,Pycnonotidae,Passeriformes,AVIBASE-09CBDAE2,7,2,1,4,4,17.4,10.8,4.7,5.2,20.4,83.1,9.3,74.2,11.1,71.6,34.9,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,-8.85,14.03,0.58,107.94,1506344.75,Pycnonotus plumosus,LC
7912.0,Pycnonotus pseudosimplex,Pycnonotidae,Passeriformes,AVIBASE-CCF575F5,1,1,0,0,1,15.4,8.1,3.6,4.3,18.0,74.0,8.7,65.3,11.8,68.0,25.1,DataFromSplit,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,1.01,5.91,3.06,113.33,80675.6,Pycnonotus pseudosimplex,LC
7914.0,Pycnonotus simplex,Pycnonotidae,Passeriformes,AVIBASE-12679AF2,7,2,3,2,5,15.9,10.1,4.0,4.6,17.5,79.6,10.7,69.0,13.4,67.5,25.1,Dunning,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,-8.78,10.96,0.49,108.83,1340820.45,Pycnonotus simplex,LC
7889.0,Pycnonotus sinensis,Pycnonotidae,Passeriformes,AVIBASE-BB5650EB,10,5,5,0,5,17.9,8.6,4.4,4.9,21.6,86.7,17.8,68.1,20.8,82.1,34.2,Dunning,,NO,,,Human Modified,2,3.0,Herbivore,Frugivore,Insessorial,18.16,43.13,30.71,112.66,3154277.75,Pycnonotus sinensis,LC
7900.0,Pycnonotus snouckaerti,Pycnonotidae,Passeriformes,AVIBASE-B4BD2218,0,0,0,0,0,16.9,8.7,4.6,4.7,20.0,86.2,11.2,75.0,13.0,93.8,30.0,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Pycnonotus bimaculatus,Forest,2,1.0,Herbivore,Frugivore,Insessorial,3.17,5.33,4.22,96.99,22979.74,Pycnonotus snouckaerti,EN
7890.0,Pycnonotus taivanus,Pycnonotidae,Passeriformes,AVIBASE-A7C19329,2,1,1,0,2,16.7,8.5,4.9,5.0,19.8,88.1,15.1,72.9,17.2,79.6,26.1,Dunning,,NO,,,Forest,2,1.0,Herbivore,Omnivore,Insessorial,21.9,24.06,23.06,121.12,7274.28,Pycnonotus taivanus,VU
7886.0,Pycnonotus tympanistrigus,Pycnonotidae,Passeriformes,AVIBASE-1DAB56C6,2,1,1,0,2,13.1,6.7,3.4,3.8,14.5,74.5,11.4,63.1,15.3,71.0,33.5,EltonTraits_GenAvg,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,-5.48,5.48,0.68,99.7,97157.16,Pycnonotus tympanistrigus,LC
7904.0,Pycnonotus xantholaemus,Pycnonotidae,Passeriformes,AVIBASE-12D2FAB5,4,1,2,1,4,16.2,8.4,3.5,4.6,18.6,87.5,11.7,75.8,13.3,87.0,28.1,Updated_literature,Dunning (2021),NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,8.72,17.67,13.53,77.68,346866.77,Pycnonotus xantholaemus,LC
7895.0,Pycnonotus xanthopygos,Pycnonotidae,Passeriformes,AVIBASE-24B66475,9,4,5,0,4,18.6,9.4,4.1,5.2,21.7,92.4,14.1,78.5,15.2,89.2,37.6,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,12.59,37.5,23.04,43.11,1313216.5,Pycnonotus xanthopygos,LC
7888.0,Pycnonotus xanthorrhous,Pycnonotidae,Passeriformes,AVIBASE-0604A8C5,5,2,3,0,4,17.7,9.1,3.9,4.4,20.0,90.6,14.2,75.3,15.8,94.6,26.9,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,18.01,34.71,27.08,106.25,1741022.34,Pycnonotus xanthorrhous,LC
7885.0,Pycnonotus zeylanicus,Pycnonotidae,Passeriformes,AVIBASE-6116C5B3,5,1,1,3,4,24.3,13.2,5.1,7.0,24.1,114.4,12.6,101.7,10.9,105.4,86.3,Dunning,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,-5.18,7.36,2.15,111.51,656927.06,Pycnonotus zeylanicus,CR
7822.0,Pyrrhurus scandens,Pycnonotidae,Passeriformes,AVIBASE-E781F61C,5,2,3,0,4,22.2,12.2,4.9,5.6,24.4,106.2,14.7,92.8,13.6,98.6,43.8,Dunning,,NO,,,Forest,2,1.0,Omnivore,Invertivore,Insessorial,-9.09,13.54,3.97,10.99,3269576.15,Pyrrhurus scandens,LC
7880.0,Rubigula dispar,Pycnonotidae,Passeriformes,AVIBASE-74235327,4,2,2,0,4,14.9,7.9,3.9,4.3,15.5,79.5,10.5,69.0,13.2,85.8,29.3,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,-8.78,5.9,-1.68,102.96,446506.23,Rubigula dispar,VU
7879.0,Rubigula flaviventris,Pycnonotidae,Passeriformes,AVIBASE-F517B7FD,6,3,3,0,6,14.9,7.9,4.1,4.6,15.0,88.2,13.3,75.0,15.1,88.0,29.3,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,2.49,30.13,19.96,98.74,2187721.2,Rubigula flaviventris,LC
7878.0,Rubigula gularis,Pycnonotidae,Passeriformes,AVIBASE-442951D4,4,2,2,0,4,14.1,7.3,3.6,3.8,14.4,73.8,8.8,65.0,11.9,78.0,29.3,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,8.09,16.81,12.26,75.68,82001.29,Rubigula gularis,LC
7877.0,Rubigula melanictera,Pycnonotidae,Passeriformes,AVIBASE-8F9DB2BC,5,2,3,0,4,15.0,7.8,3.6,4.2,15.2,72.0,8.4,63.6,11.7,70.6,29.3,Dunning,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,5.92,9.83,7.59,80.71,62208.81,Rubigula melanictera,LC
7881.0,Rubigula montis,Pycnonotidae,Passeriformes,AVIBASE-D0DE2864,4,2,2,0,4,14.2,7.6,3.3,4.0,15.0,79.0,11.4,67.6,14.4,74.5,29.3,DataFromSplit,,NO,,,Forest,2,1.0,Herbivore,Frugivore,Insessorial,-1.04,6.58,2.34,115.16,228290.83,Rubigula montis,LC
7824.0,Setornis criniger,Pycnonotidae,Passeriformes,AVIBASE-56478ACE,5,0,1,4,4,23.9,16.3,5.3,6.5,19.9,95.6,17.0,77.8,17.9,79.6,29.5,Dunning,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,-4.19,7.04,0.3,111.89,775317.21,Setornis criniger,VU
7875.0,Spizixos canifrons,Pycnonotidae,Passeriformes,AVIBASE-10F913B3,4,2,2,0,4,13.6,8.2,5.4,7.1,19.0,95.0,16.9,78.1,17.8,94.0,44.0,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,17.36,29.17,23.9,99.22,1162572.35,Spizixos canifrons,LC
7876.0,Spizixos semitorques,Pycnonotidae,Passeriformes,AVIBASE-40F3B30B,8,4,4,0,4,14.2,8.1,6.7,7.7,19.1,89.8,13.6,77.7,14.8,91.9,39.0,Dunning,,NO,,,Shrubland,2,1.0,Omnivore,Omnivore,Insessorial,20.23,36.61,28.41,111.05,2328094.86,Spizixos semitorques,LC
7765.0,Stelgidillas gracilirostris,Pycnonotidae,Passeriformes,AVIBASE-5D82C13B,12,5,7,0,4,19.4,11.1,4.2,4.3,20.0,80.9,14.7,69.3,17.5,74.0,31.2,Dunning,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,-8.72,13.04,0.49,15.77,3807444.87,Stelgidillas gracilirostris,LC
7777.0,Thescelocichla leucopleura,Pycnonotidae,Passeriformes,AVIBASE-EBE56736,4,2,2,0,4,22.8,12.7,4.9,5.6,24.5,113.0,16.5,96.5,14.6,106.2,62.1,Dunning,,NO,,,Forest,1,1.0,Herbivore,Frugivore,Insessorial,-7.73,13.56,1.53,12.83,3240183.59,Thescelocichla leucopleura,LC
7823.0,Tricholestes criniger,Pycnonotidae,Passeriformes,AVIBASE-260C7E77,10,2,3,5,6,15.7,10.2,4.0,4.0,15.4,73.2,11.1,61.8,15.3,63.4,17.1,Dunning,,NO,,,Forest,1,1.0,Omnivore,Omnivore,Insessorial,-6.08,11.93,0.92,107.73,1220380.84,Tricholestes criniger,LC
9363.0,Regulus calendula,Regulidae,Passeriformes,AVIBASE-B60B1166,5,2,3,0,4,10.6,6.3,2.7,2.2,18.4,58.0,12.6,44.9,22.0,42.2,6.2,Dunning,,NO,,,Forest,1,3.0,Carnivore,Invertivore,Insessorial,32.33,69.54,53.97,-108.98,9263294.84,,
9365.0,Regulus goodfellowi,Regulidae,Passeriformes,AVIBASE-367F4CFC,4,2,2,0,4,9.8,5.4,2.0,2.0,17.4,52.5,11.5,41.0,21.9,35.5,4.1,Dunning,,NO,,,Forest,2,2.0,Carnivore,Invertivore,Insessorial,21.9,25.3,23.79,121.1,22144.91,Regulus goodfellowi,LC
9368.0,Regulus ignicapilla,Regulidae,Passeriformes,AVIBASE-85B03849,21,9,11,1,8,10.9,6.0,2.0,2.1,16.5,52.3,11.5,40.7,22.0,39.4,5.6,Dunning,,NO,,,Forest,1,3.0,Carnivore,Invertivore,Insessorial,30.79,56.12,46.92,11.36,2693877.52,Regulus ignicapilla,LC
9367.0,Regulus madeirensis,Regulidae,Passeriformes,AVIBASE-C92557B8,4,2,2,0,4,11.8,6.6,2.8,2.4,19.5,54.8,10.9,43.9,19.9,40.1,5.6,Dunning,,NO,,,Forest,2,1.0,Carnivore,Invertivore,Insessorial,32.63,32.87,32.74,-17.0,753.1,Regulus madeirensis,LC
9366.0,Regulus regulus,Regulidae,Passeriformes,AVIBASE-1C51C109,23,12,11,0,6,10.6,5.7,2.2,2.1,15.0,52.9,11.6,41.2,22.0,39.3,5.5,Dunning,,NO,,,Forest,1,3.0,Carnivore,Invertivore,Insessorial,24.29,70.31,51.77,58.18,13206760.36,Regulus regulus,LC
9364.0,Regulus satrapa,Regulidae,Passeriformes,AVIBASE-154BCCAE,5,2,3,0,4,9.0,5.4,2.1,2.5,16.2,57.2,13.4,43.4,23.6,42.8,6.2,Dunning,,NO,,,Forest,1,3.0,Carnivore,Invertivore,Insessorial,14.65,62.43,49.81,-105.16,6348089.15,Regulus satrapa,LC
7254.0,Anthoscopus caroli,Remizidae,Passeriformes,AVIBASE-F40D02B2,9,5,4,0,4,9.2,6.7,2.9,3.2,13.1,52.6,8.1,44.1,15.5,29.9,6.9,Dunning,,NO,,,Woodland,2,1.0,Omnivore,Invertivore,Insessorial,-29.42,2.79,-11.97,29.86,4646761.76,Anthoscopus caroli,LC
7253.0,Anthoscopus flavifrons,Remizidae,Passeriformes,AVIBASE-515353F2,5,2,3,0,4,10.4,7.7,3.0,3.9,12.3,54.0,10.7,44.0,19.6,27.2,8.0,Updated_literature,BoW,NO,,,Forest,1,1.0,Omnivore,Invertivore,Insessorial,-5.8,8.42,1.81,14.84,1195620.86,Anthoscopus flavifrons,LC
7256.0,Anthoscopus minutus,Remizidae,Passeriformes,AVIBASE-E6239363,5,3,2,0,4,8.6,6.7,2.5,3.7,13.4,49.8,7.4,42.1,14.9,34.8,6.6,Dunning,,NO,,,Shrubland,3,1.0,Omnivore,Invertivore,Insessorial,-34.84,-12.21,-25.5,21.4,1707193.51,Anthoscopus minutus,LC
7252.0,Anthoscopus musculus,Remizidae,Passeriformes,AVIBASE-6F967270,5,2,3,0,4,8.2,6.3,2.7,3.3,11.4,49.0,6.6,42.4,13.5,27.4,5.2,Dunning,,NO,,,Shrubland,3,1.0,Carnivore,Invertivore,Insessorial,-4.07,11.71,4.22,39.95,1141427.54,Anthoscopus musculus,LC
7251.0,Anthoscopus parvulus,Remizidae,Passeriformes,AVIBASE-1ED6D9B4,3,0,3,0,3,9.0,7.1,2.5,3.2,11.8,50.0,7.6,42.4,15.3,28.3,5.8,Dunning,,NO,,,Shrubland,3,1.0,Carnivore,Invertivore,Insessorial,1.72,16.97,10.48,5.72,1993198.49,Anthoscopus parvulus,LC
7250.0,Anthoscopus punctifrons,Remizidae,Passeriformes,AVIBASE-5A636137,5,2,3,0,4,9.2,7.0,2.8,3.6,13.1,50.4,7.8,42.5,15.4,30.2,7.0,Dunning,,NO,,,Desert,3,1.0,Carnivore,Invertivore,Insessorial,7.33,17.64,14.22,10.92,2414155.96,Anthoscopus punctifrons,LC
7255.0,Anthoscopus sylviella,Remizidae,Passeriformes,AVIBASE-6E9DA935,0,0,0,0,0,9.2,6.7,2.9,3.2,13.1,52.6,8.1,44.1,15.5,29.9,6.9,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Anthoscopus caroli,Shrubland,2,1.0,Omnivore,Invertivore,Insessorial,-4.03,-0.08,-2.27,35.31,183180.16,Anthoscopus sylviella,LC
7257.0,Auriparus flaviceps,Remizidae,Passeriformes,AVIBASE-A5EFA84D,8,2,6,0,7,9.8,7.0,3.2,3.9,15.0,52.1,7.6,45.0,14.4,48.9,6.8,Dunning,,NO,,,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,19.05,37.57,28.91,-105.76,1879707.38,Auriparus flaviceps,LC
7249.0,Remiz consobrinus,Remizidae,Passeriformes,AVIBASE-6D6870E3,5,2,3,0,4,10.5,7.4,3.0,3.8,13.1,55.4,14.0,41.5,25.2,43.6,9.1,Dunning,,NO,,,Wetland,2,3.0,Omnivore,Invertivore,Insessorial,38.04,53.35,46.67,125.75,1388083.99,Remiz consobrinus,LC
7248.0,Remiz coronatus,Remizidae,Passeriformes,AVIBASE-454B9078,5,2,3,0,4,9.7,7.0,2.8,3.2,12.3,52.4,9.2,42.8,17.6,41.0,6.9,Dunning,,NO,,,Riverine,2,3.0,Omnivore,Invertivore,Insessorial,36.18,53.39,46.84,88.18,2685732.89,Remiz coronatus,LC
